MES;CLIENTE;LINEA_RENOVADO;PLAZO_RENOVADO;FLAG_VENTA;USO_LINEA_TOTAL_TC_T2;USO_TRIM_LINEA_BBVA;NR_ENTIDADES_TOTAL_T2;DIFF_NRO_ENTIDA_TOTALES_T2_T12;SDO_CONSUMO_T2;RESENCIA_OFERTA_PLD_RENOVADO;Ahorro_Sldo_Bco_T1;PConsumo_Sldo_Bco_T1;SDO_BCO_tot_sm_pasivo_Bco_6M;EDAD;SEXO;EST_CIVIL;ANTIGUEDAD_MES;REGION;FLAG_LIMA_PROVINCIA;SUELDO_ESTIMADO;CUBRIR_DEUDA_CONSUMO_SF_RENOVA_PLD
201506;1;3770;12;0;0;0;1;-1;271.12;21;1850;457;3754.333333;25;M;S;23;LIMA NORTE;1;3531;0.071915
201506;2;1300;6;0;0;0;1;0;11200;9;2093;11200;1581.333333;33;M;S;56;LIMA ESTE;1;1322;8.61538
201506;3;7800;36;0;0.429507;0.225615;5;-2;20156.45;;16208;4778;10241;26;M;S;20;LIMA MODERNA;1;4234;2.58416
201506;4;6630;12;0;0;0;1;1;20485.14;20;1531;0;5797.333333;51;M;S;166;NORTE;0;6647;3.08976
201506;5;15497;36;1;;;1;0;1682.83;11;308;1935;16755.33333;35;M;C;55;NORTE;0;2094;0.10859
201506;6;13130;36;0;0.207272;0;2;-2;5047.05;11;921;4186;8725.833333;27;M;S;55;LIMA NORTE;1;2523;0.38439
201506;7;13000;24;0;0.439277;0.528205;2;-1;9858.13;15;727;6621;8193.833333;26;M;S;42;LIMA NORTE;1;4459;0.758317
201506;8;3900;12;0;;;3;-2;2172.74;;0;1865;11525.75;26;M;S;60;LIMA SUR;1;1187.66;0.557112
201506;9;6106;36;0;0;0;1;3;3607.29;6;588;3624;1169.333333;24;M;C;62;CENTRO;0;2676;0.590777
201506;10;3900;12;0;;;1;-1;1093.7;6;108;1317;1828.166666;23;F;S;35;LIMA MODERNA;1;2140.25;0.280435
201506;11;23966;24;0;;;1;0;9082.52;21;1;9818;2;38;F;C;184;NORTE;0;1455;0.378975
201506;12;15340;36;0;0;0;1;0;5885.25;21;1124;5943;17285.83333;25;M;S;63;LIMA ESTE;1;3627;0.383653
201506;13;5200;36;0;0;0;1;0;1820.56;21;303;1937;27240.83333;26;M;S;54;CENTRO;0;3474;0.350107
201506;14;39000;36;0;0.350335;0.43208;1;2;26996.54;15;259;24939;10632.5;27;M;S;51;SUR;0;11124;0.692218
201506;15;19500;36;0;0;0;1;0;9006.11;16;2127;9075;9818.333333;26;F;S;154;CENTRO;0;2362;0.461851
201506;16;19500;42;1;;;1;-1;17471.75;;122;11941;1073.666666;27;M;S;88;CENTRO;0;2544;0.895987
201506;17;19500;24;0;0.156997;0.315501;2;0;8823.83;12;434;7748;1466.666666;26;M;S;58;LIMA ESTE;1;4199;0.452504
201506;18;5200;18;0;0;0;3;-1;6973.99;;0;3144;1304;27;F;S;5;CENTRO;0;1777;1.34115
201506;19;2600;12;0;0.056422;0.580854;2;0;21199.01;6;274;20641;665.833333;26;M;S;99;LIMA CENTRO;1;3253;8.15347
